agent_id,question_id,mode,profile_label,act_ref,sen_int,vis_ver,seq_glo,scs,rr,cr5,cr10,er,engagement,latency_ms,token_count,tutor_cost
P06_ActIntVisGlo_I04_gen,MH_015,R1,Active-Intuitive-Visual-Global,-1,1,-1,1,0.4565,5,0.0,0.3333,0.0,4,17911,3844,0.0027375999999999998
P02_ActSenVisGlo_I01_beg,MH_095,R1,Active-Sensing-Visual-Global,-1,-1,-1,1,0.4064,3,0.3333,0.3333,1.0,3,13549,5295,0.0033179999999999998
P04_ActSenVerGlo_I01_beg,MH_071,R1,Active-Sensing-Verbal-Global,-1,-1,1,1,0.5221,5,0.3333,0.6667,0.0,5,24732,5059,0.0032236
P01_ActSenVisSeq_I02_int,MH_045,R1,Active-Sensing-Visual-Sequential,-1,-1,-1,-1,0.5615,3,0.0,0.0,0.0,4,11802,3593,0.0026372
P09_RefSenVisSeq_I04_gen,MH_102,R1,Reflective-Sensing-Visual-Sequential,1,-1,-1,-1,0.5381,5,0.0,0.6667,1.0,5,14105,4646,0.0030583999999999997
P01_ActSenVisSeq_I04_gen,MH_060,R1,Active-Sensing-Visual-Sequential,-1,-1,-1,-1,0.5412,3,0.0,0.0,0.0,5,14857,4160,0.002864
P07_ActIntVerSeq_I03_adv,MH_087,R1,Active-Intuitive-Verbal-Sequential,-1,1,1,-1,0.5732,5,0.0,0.0,0.0,4,14558,3416,0.0025664
P13_RefIntVisSeq_I02_int,MH_081,R1,Reflective-Intuitive-Visual-Sequential,1,1,-1,-1,0.5986,4,0.3333,0.3333,0.0,4,12394,5910,0.003564
P13_RefIntVisSeq_I03_adv,MH_077,R1,Reflective-Intuitive-Visual-Sequential,1,1,-1,-1,0.5276,5,0.6667,0.6667,1.0,4,14104,5200,0.00328
P07_ActIntVerSeq_I05_gen,MH_021,R1,Active-Intuitive-Verbal-Sequential,-1,1,1,-1,0.4866,2,0.3333,0.3333,0.0,4,11711,3967,0.00274
P05_ActIntVisSeq_I04_gen,MH_001,R1,Active-Intuitive-Visual-Sequential,-1,1,-1,-1,0.5353,4,0.3333,0.3333,0.0,4,16325,4073,0.0028291999999999996
P16_RefIntVerGlo_I05_gen,MH_009,R1,Reflective-Intuitive-Verbal-Global,1,1,1,1,0.4976,3,0.0,0.0,0.0,5,20946,4638,0.0030552
P12_RefSenVerGlo_I02_int,MH_039,R1,Reflective-Sensing-Verbal-Global,1,-1,1,1,0.5121,3,0.3333,0.3333,1.0,4,13823,4066,0.0028263999999999997
P13_RefIntVisSeq_I04_gen,MH_076,R1,Reflective-Intuitive-Visual-Sequential,1,1,-1,-1,0.5222,5,0.6667,0.6667,1.0,4,14048,4844,0.0031376
P12_RefSenVerGlo_I02_int,MH_065,R1,Reflective-Sensing-Verbal-Global,1,-1,1,1,0.5811,3,0.0,0.0,0.0,4,12148,3712,0.0026847999999999998
P15_RefIntVerSeq_I05_gen,MH_042,R1,Reflective-Intuitive-Verbal-Sequential,1,1,1,-1,0.4677,5,0.0,0.0,0.0,4,14054,4623,0.0030491999999999997
P15_RefIntVerSeq_I02_int,MH_072,R1,Reflective-Intuitive-Verbal-Sequential,1,1,1,-1,0.4842,3,0.0,0.0,0.0,4,12992,4174,0.0028696
P11_RefSenVerSeq_I03_adv,MH_073,R1,Reflective-Sensing-Verbal-Sequential,1,-1,1,-1,0.4879,5,0.0,0.3333,1.0,4,14210,4679,0.0030716
P04_ActSenVerGlo_I04_gen,MH_072,R1,Active-Sensing-Verbal-Global,-1,-1,1,1,0.4336,4,0.0,0.0,0.0,4,15123,4448,0.0029791999999999996
P10_RefSenVisGlo_I05_gen,MH_032,R1,Reflective-Sensing-Visual-Global,1,-1,-1,1,0.6715,4,0.3333,0.3333,0.0,4,13281,4435,0.002974
P11_RefSenVerSeq_I03_adv,MH_081,R1,Reflective-Sensing-Verbal-Sequential,1,-1,1,-1,0.455,5,0.3333,0.3333,0.0,4,19048,6187,0.0036747999999999998
P03_ActSenVerSeq_I03_adv,MH_104,R1,Active-Sensing-Verbal-Sequential,-1,-1,1,-1,0.5097,3,0.3333,0.3333,1.0,5,16049,4736,0.0030943999999999998
P07_ActIntVerSeq_I01_beg,MH_094,R1,Active-Intuitive-Verbal-Sequential,-1,1,1,-1,0.601,3,0.0,0.0,0.0,4,21173,4613,0.0030451999999999996
P16_RefIntVerGlo_I03_adv,MH_041,R1,Reflective-Intuitive-Verbal-Global,1,1,1,1,0.4845,5,0.0,0.0,0.0,4,15500,4165,0.0028659999999999996
P14_RefIntVisGlo_I04_gen,MH_076,R1,Reflective-Intuitive-Visual-Global,1,1,-1,1,0.4583,3,0.6667,0.6667,1.0,4,23520,4495,0.002998
P11_RefSenVerSeq_I01_beg,MH_030,R1,Reflective-Sensing-Verbal-Sequential,1,-1,1,-1,0.4749,4,0.2,0.2,0.0,4,19327,3364,0.0025456
P04_ActSenVerGlo_I04_gen,MH_099,R1,Active-Sensing-Verbal-Global,-1,-1,1,1,0.266,3,0.3333,0.6667,1.0,4,18951,3991,0.0027964
P01_ActSenVisSeq_I01_beg,MH_008,R1,Active-Sensing-Visual-Sequential,-1,-1,-1,-1,0.4053,3,0.0,0.0,0.0,4,65326,3829,0.0027316
P15_RefIntVerSeq_I05_gen,MH_051,R1,Reflective-Intuitive-Verbal-Sequential,1,1,1,-1,0.3644,3,0.0,0.6667,1.0,4,12167,4154,0.0028615999999999997
P08_ActIntVerGlo_I04_gen,MH_074,R1,Active-Intuitive-Verbal-Global,-1,1,1,1,0.5176,3,0.0,0.0,0.0,4,20769,4525,0.0028047999999999997
P14_RefIntVisGlo_I05_gen,MH_050,R1,Reflective-Intuitive-Visual-Global,1,1,-1,1,0.5035,5,0.5,0.5,0.5,4,11637,4496,0.0029984
P06_ActIntVisGlo_I02_int,MH_009,R1,Active-Intuitive-Visual-Global,-1,1,-1,1,0.4731,3,0.0,0.0,0.0,4,23565,4952,0.0031807999999999997
P02_ActSenVisGlo_I05_gen,MH_101,R1,Active-Sensing-Visual-Global,-1,-1,-1,1,0.5505,3,0.0,0.6667,1.0,5,14546,4153,0.0028611999999999995
P12_RefSenVerGlo_I01_beg,MH_073,R1,Reflective-Sensing-Verbal-Global,1,-1,1,1,0.6417,2,0.0,0.0,0.0,4,18022,4038,0.0028152
P05_ActIntVisSeq_I05_gen,MH_100,R1,Active-Intuitive-Visual-Sequential,-1,1,-1,-1,0.4364,3,0.3333,0.3333,0.0,4,11147,3307,0.0025228
P01_ActSenVisSeq_I02_int,MH_097,R1,Active-Sensing-Visual-Sequential,-1,-1,-1,-1,0.5043,5,0.3333,0.3333,1.0,4,16140,4023,0.0028091999999999995
P13_RefIntVisSeq_I01_beg,MH_021,R1,Reflective-Intuitive-Visual-Sequential,1,1,-1,-1,0.577,2,0.3333,0.3333,0.0,4,12373,4409,0.0029636
P09_RefSenVisSeq_I03_adv,MH_073,R1,Reflective-Sensing-Visual-Sequential,1,-1,-1,-1,0.5408,5,0.0,0.3333,1.0,4,14370,4843,0.0031371999999999997
P11_RefSenVerSeq_I05_gen,MH_073,R1,Reflective-Sensing-Verbal-Sequential,1,-1,1,-1,0.4738,4,0.0,0.0,0.0,4,10752,3994,0.0027976
P16_RefIntVerGlo_I05_gen,MH_068,R1,Reflective-Intuitive-Verbal-Global,1,1,1,1,0.5479,5,0.0,0.3333,1.0,4,1011876,5344,0.0033375999999999996
P14_RefIntVisGlo_I05_gen,MH_094,R1,Reflective-Intuitive-Visual-Global,1,1,-1,1,0.6912,3,0.0,0.0,0.0,4,13823,4505,0.003002
P02_ActSenVisGlo_I05_gen,MH_079,R1,Active-Sensing-Visual-Global,-1,-1,-1,1,0.6609,3,0.6667,0.6667,0.0,4,23071,5636,0.0034544
P12_RefSenVerGlo_I04_gen,MH_003,R1,Reflective-Sensing-Verbal-Global,1,-1,1,1,0.5494,5,0.0,0.0,0.0,4,18514,4147,0.0028588
P05_ActIntVisSeq_I04_gen,MH_038,R1,Active-Intuitive-Visual-Sequential,-1,1,-1,-1,0.5919,4,0.0,0.0,0.0,4,16899,5013,0.0032052
P15_RefIntVerSeq_I03_adv,MH_097,R1,Reflective-Intuitive-Verbal-Sequential,1,1,1,-1,0.4525,5,0.3333,0.3333,1.0,4,14063,3936,0.002706
P08_ActIntVerGlo_I01_beg,MH_076,R1,Active-Intuitive-Verbal-Global,-1,1,1,1,0.224,5,0.6667,0.6667,1.0,4,15742,4402,0.0029607999999999995
P10_RefSenVisGlo_I04_gen,MH_027,R1,Reflective-Sensing-Visual-Global,1,-1,-1,1,0.6607,3,0.0,0.0,0.0,4,15916,4651,0.0030603999999999996
P12_RefSenVerGlo_I01_beg,MH_023,R1,Reflective-Sensing-Verbal-Global,1,-1,1,1,0.3896,3,0.3333,0.3333,1.0,4,15690,4129,0.0028515999999999997
P05_ActIntVisSeq_I01_beg,MH_008,R1,Active-Intuitive-Visual-Sequential,-1,1,-1,-1,0.4292,3,0.0,0.0,0.0,4,17862,3119,0.0024476
P01_ActSenVisSeq_I03_adv,MH_045,R1,Active-Sensing-Visual-Sequential,-1,-1,-1,-1,0.4578,5,0.0,0.0,0.0,4,17288,3593,0.0026372
P04_ActSenVerGlo_I01_beg,MH_090,R1,Active-Sensing-Verbal-Global,-1,-1,1,1,0.5447,4,0.3333,0.3333,0.0,4,11798,4163,0.0028652
P13_RefIntVisSeq_I04_gen,MH_079,R1,Reflective-Intuitive-Visual-Sequential,1,1,-1,-1,0.5386,3,0.6667,0.6667,0.0,4,13449,5642,0.0034567999999999995
P03_ActSenVerSeq_I05_gen,MH_031,R1,Active-Sensing-Verbal-Sequential,-1,-1,1,-1,0.4939,3,0.0,0.0,0.0,4,14678,3810,0.002724
P09_RefSenVisSeq_I04_gen,MH_096,R1,Reflective-Sensing-Visual-Sequential,1,-1,-1,-1,0.5884,5,0.3333,0.3333,0.0,4,16824,4592,0.0030368
P08_ActIntVerGlo_I04_gen,MH_087,R1,Active-Intuitive-Verbal-Global,-1,1,1,1,0.5116,5,0.0,0.0,0.0,4,18177,3743,0.0026972
P15_RefIntVerSeq_I03_adv,MH_037,R1,Reflective-Intuitive-Verbal-Sequential,1,1,1,-1,0.5354,5,0.0,0.25,1.0,4,28032,4908,0.0031631999999999997
P09_RefSenVisSeq_I03_adv,MH_027,R1,Reflective-Sensing-Visual-Sequential,1,-1,-1,-1,0.4861,3,0.0,0.0,0.0,4,17372,4571,0.0030283999999999997
P01_ActSenVisSeq_I03_adv,MH_097,R1,Active-Sensing-Visual-Sequential,-1,-1,-1,-1,0.5017,5,0.3333,0.3333,1.0,4,22404,4023,0.0028091999999999995
